Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Moon,Yamato Yuuga Dinner Show - Possibility,大和悠河ディナーショー「POSSIBILITY」,Yamato Yuuga Dinner Show - Possibility,Daiichi  Hotel Tokyo,Sakai Sumio,N/A,Yoshida Yuuko,Wakao Risa,N/A,0,N/A,0,Yamato Yuuga,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,24,10,2002,25,10,2002
Moon,Yamato Yuuga Dinner Show - Possibility,大和悠河ディナーショー「POSSIBILITY」,Yamato Yuuga Dinner Show - Possibility,Takarazuka Hotel,Sakai Sumio,N/A,Yoshida Yuuko,Wakao Risa,N/A,0,N/A,0,Yamato Yuuga,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,21,10,2002,22,10,2002
Snow,Hopscotch,ホップ スコッチ －Hopscotch　石けり－,Hopscotch -Ishikeri-,Bow Hall,Oota Tetsunori,Oota Tetsunori,Yoshizaki Kenji. Maeda Shigezane. Kikawada Shin,Miyazaki Atsumi,N/A,0,N/A,0,Tatsuki You. Sou Kazuho. Otozuki Kei,FALSE,TRUE,FALSE,FALSE,drama. comedy. mystery. 20s. american,FALSE,FALSE,FALSE,FALSE,19,10,2002,28,10,2002
Senka. Moon. Snow,Switch -75th Collaboration-,バウ・パフォーマンス「Switch」―75thコラボレーション―,Switch -75th Collaboration-,Bow Hall,Fujii Daisuke,Fujii Daisuke,Miyahara Tooru. Kikawada Shin,Nakura Kayoko. Wakao Risa,N/A,0,N/A,0,Iori Naoka. Kozuki Wataru. Yoshizuki Eri. Miho Keiko,FALSE,TRUE,FALSE,FALSE,drama. revue. american,TRUE,movie,FALSE,FALSE,5,10,2002,12,10,2002
Flower,Elisabeth,エリザベート －愛と死の輪舞－,Elisabeth -Ai to Shi no Rondo-,Takarazuka Grand Theater,Koike Shuuichirou. Nakamura Kazunori,Michael Kunze,Sylvester Levay,Hayama Kiyomi. Shou Sumire. Maeda Kiyomi,Haruno Sumire,2,Ootori Rei,11,N/A,FALSE,TRUE,FALSE,FALSE,drama. european. fantasy. biography,FALSE,FALSE,TRUE,snow. star. cosmos,04,10,2002,18,11,2002
Cosmos,Legend of the Phoenix -Calaf & Turandot-,鳳凰伝 －カラフとトゥーランドット－,Hououden -Calaf to Turandot-,Tokyo Takarazuka Theater,Kimura Shinji,Kimura Shinji,Kai Masato,Hayama Kiyomi. Takemura Rui,Wao Youka,7,Hanafusa Mari,29,N/A,TRUE,FALSE,FALSE,FALSE,drama. ancient. chinese,TRUE,opera,FALSE,FALSE,28,9,2002,10,11,2002
Cosmos,The Showstopper,ザ・ショー・ストッパー,The Showstopper,Tokyo Takarazuka Theater,Miki Akio,Miki Akio,Takahashi Kuni. Yoshida Yuuko. Kuratomi Shinchi. Saitou Tsuneyoshi,Hayama Kiyomi. Nakura Kayoko. Sha Tamae,Wao Youka,7,Hanafusa Mari,29,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,28,9,2002,10,11,2002
Star,Winter Garten,Winter Garten -Haru o machiwabu Fuyu no Teien-.ヴィンターガルテン －春を待ち侘ぶ冬の庭園－,,Nippon Seinenkan Hall,Saitou Yoshimasa,Saitou Yoshimasa,Takahashi Kuni. Miyahara Tooru,Koido Hideya. Miori Yumino. Wakao Risa,N/A,0,N/A,0,Asazumi Kei. Matobu Sei,FALSE,TRUE,FALSE,FALSE,drama. german. 30s,FALSE,FALSE,FALSE,FALSE,21,9,2002,27,9,2002
Star,Butterfly Lovers,蝶・恋,Tieh Lien,China Tour,Ueda Shinji,Ueda Shinji,Yoshida Yuuko,Hanayagi Yoshijirou,Kouju Tatsuki,4,Dan Rei,1,N/A,TRUE,FALSE,FALSE,FALSE,drama. ancient. nihonmono,TRUE,folklore. kabuki,FALSE,FALSE,13,9,2002,2,10,2002
Star,Southern Cross Revue in China,サザンクロス・レビュー・イン・チャイナ,Southern Cross Revue in China,China Tour,Kusano Akira,Kusano Akira,Takahashi Kuni. Kuratomi Shinichi. Miyagawa Akira,Hayama Kiyomi. Shou Sumire. Nakura Kayoko. Ueshima Yukio. Iga Yuuko,Kouju Tatsuki,4,Dan Rei,1,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,13,9,2002,2,10,2002
Star,Winter Garten,ヴィンターガルテン －春を待ち侘ぶ冬の庭園－,Winter Garten -Haru o machiwabu Fuyu no Teien-,Bow Hall,Saitou Yoshimasa,Saitou Yoshimasa,Takahashi Kuni. Miyahara Tooru,Koido Hideya. Miori Yumino. Wakao Risa,N/A,0,N/A,0,Asazumi Kei. Matobu Sei,FALSE,TRUE,FALSE,FALSE,drama. german. 30s,FALSE,FALSE,FALSE,FALSE,7,9,2002,16,9,2002
Senka. Cosmos,Todoroki Yuu Special Concert - Stylish!,スタイリッシュ,Todoroki Yuu Special Concert - Stylish!,Aoyama Theater,Nakamura Satoru,N/A,N/A,N/A,N/A,0,N/A,0,Todoroki Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,3,9,2002,6,9,2002
Senka,Senka Encourage Special,専科エンカレッジ　スペシャル,Senka Encourage Special,Bow Hall,N/A,N/A,N/A,N/A,Bow Hall,0,N/A,0,N/A,FALSE,FALSE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,29,8,2002,30,8,2002
Cosmos,Mizu Natsuki Dinner Show - Soul,水夏希ディナーショー「Soul」,Mizu Natsuki Dinner Show - Soul,Takarazuka Hotel,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Mizu Natsuki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,27,8,2002,28,8,2002
