Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author ,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Star,Star Troupe Encourage Concert,星組エンカレッジコンサート,Hoshigumi Encourage Concert,Bow Hall,Okada Keiji,N/A,Yoshizaki Kenji,N/A,N/A,0,N/A,0,N/A,FALSE,TRUE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,6,10,2001,8,10,2001
Snow,Flaming Love,愛　燃える,Ai Moeru,Takarazuka Grand Theater,Sakai Sumio,Sakai Sumio,Yoshida Yuuko. Kuratomi Shinichi,Hanayagi Yoshijirou. Wakao Risa,Todoroki Yuu,13,Tsukikage Hitomi,14,N/A,TRUE,FALSE,FALSE,FALSE,drama. ancient. chinese,FALSE,FALSE,FALSE,FALSE,5,10,2001,12,11,2001
Snow,Rose Garden,Rose Garden,Rose Garden,Takarazuka Grand Theater,Okada Keiji,Okada Keiji,Yoshizaki Kenji. Takahashi Kuni. Kai Masato. Miyahara Tooru,Hayama Kiyomi. Ootani Morio. Muromachi Akane. Miori Yumino,Todoroki Yuu,13,Tsukikage Hitomi,14,N/A,TRUE,FALSE,FALSE,FALSE,revue. taidan,FALSE,FALSE,FALSE,FALSE,5,10,2001,12,11,2001
Flower,Michelangelo,ミケランジェロ,Michelangelo,Tokyo Takarazuka Theater,Tani Masazumi,Tani Masazumi,Yoshizaki Kenji. Miyahara Tooru,Shou Sumire,Aika Mire,8,Ootori Rei,8,N/A,TRUE,FALSE,FALSE,FALSE,drama. 1500s. italian. biography,FALSE,FALSE,FALSE,FALSE,29,9,2001,11,11,2001
Flower,Viva!,ＶＩＶＡ！,Viva!,Tokyo Takarazuka Theater,Miki Akio,Miki Akio,Takahashi Kuni. Yoshida Yuuko. Kuratomi Shinichi,Hayama Kiyomi. Nakura Kayoko. Ai Erina. Miori Yumino. Wakao Risa,Aika Mire,8,Ootori Rei,8,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,29,9,2001,11,11,2001
Cosmos,Asamiya Mayu Dinner Show - Gypsy Night,朝宮真由ディナーショー「Gypsy　Night」,Asamiya Mayu Dinner Show - Gypsy Night,Daiichi Hotel Tokyo,Masatsuka Haruhiko,Masatsuka Haruhiko,N/A,N/A,N/A,0,N/A,0,Asamiya Mayu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,24,9,2001,25,9,2001
Cosmos,Figaro!,フィガロ！,Figaro!,Nippon Seinenkan Hall,Oota Tetsunori,Oota Tetsunori,Yoshizaki Kenji. Miyahara Tooru. Maeda Shigezane,Miyazaki Atsumi,N/A,0,N/A,0,Mizu Natsuki. Ayano Kanami,FALSE,TRUE,FALSE,FALSE,drama. comedy. spanish. 1700s,TRUE,opera,FALSE,FALSE,22,9,2001,28,9,2001
Cosmos,Asamiya Mayu Dinner Show - Gypsy Night,朝宮真由ディナーショー「Gypsy　Night」,Asamiya Mayu Dinner Show - Gypsy Night,Shin Hankyu Hotel,Masatsuka Haruhiko,Masatsuka Haruhiko,N/A,N/A,N/A,0,N/A,0,Asamiya Mayu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,20,9,2001,21,9,2001
Senka / Cosmos,Ayaki Nao Dinner Show - Kitsch...?,彩輝直ディナーショー「Kitsch･･･？」,Ayaki Nao Dinner Show - Kitsch...?,Hotel Grand Palace,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Ayaki Nao,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,16,9,2001,17,9,2001
Senka / Cosmos,Ayaki Nao Dinner Show - Kitsch...?,彩輝直ディナーショー「Kitsch･･･？」,Ayaki Nao Dinner Show - Kitsch...?,Takarazuka Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Ayaki Nao,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,11,9,2001,12,9,2001
